minimum_nights,amenity_score,number_of_reviews,availability_365,price_class,neighbourhood_group_Brooklyn,neighbourhood_group_Manhattan,neighbourhood_group_Queens,neighbourhood_group_Staten Island,neighbourhood_group_Unknown,room_type_Private room,room_type_Shared room,room_type_Unknown
-0.2599790317196787,0.07132537379451812,-0.38353032350348043,1.8920897228198001,1,True,False,False,False,False,True,False,False
1.2390088507601131,1.7435827716165677,-0.5203787144335694,1.945679218165372,2,False,True,False,False,False,False,False,False
-0.3135143132368141,2.148663756182158,-0.40633838865849525,-0.27445701757973884,3,False,True,False,False,False,False,False,False
2.042038073517144,1.255408251755473,-0.5203787144335694,1.6471091726686156,2,True,False,False,False,False,False,False,False
-0.2599790317196787,-0.26104876738750415,1.0305697161074392,-0.08306596277412583,1,True,False,False,False,False,False,False,False
1.2390088507601131,-1.928112819253585,-0.5203787144335694,1.6164866038997174,0,False,False,True,False,False,False,False,True
-0.09937318716827241,-1.1854643475500037,-0.4975706492785546,-0.8486301819965778,1,False,True,False,False,False,True,False,False
-0.20644375020254327,0.024585260190796297,0.23228743568192012,-0.7644181178821081,1,False,True,False,False,False,False,False,False
-0.3135143132368141,1.5981690848494332,-0.4975706492785546,-0.8486301819965778,3,False,True,False,False,False,False,False,False
-0.09937318716827241,0.4764063583601081,-0.20106580226336176,-0.8180076132276797,2,False,True,False,False,False,False,False,False
-0.20644375020254327,1.6656825822770314,-0.3379141931934508,-0.15962238469637102,2,True,False,False,False,False,False,False,False
-0.3135143132368141,0.060938681882580135,1.0305697161074392,-0.6419278428065157,1,True,False,False,False,False,True,False,False
1.2390088507601131,1.4839154738181128,-0.5203787144335694,1.7466325211675344,3,False,True,False,False,False,False,False,False
-0.2599790317196787,-0.4843626434941753,-0.42914645381351013,-0.8486301819965778,1,True,False,False,False,False,False,False,False
-0.09937318716827241,0.839940575277945,-0.4975706492785546,-0.8486301819965778,2,False,True,False,False,False,False,False,False
-0.09937318716827241,-0.027348199368894696,-0.5203787144335694,-0.8486301819965778,1,True,False,False,False,False,False,False,False
-0.3135143132368141,0.2427057903414986,-0.45195451896852495,1.945679218165372,2,False,True,False,False,False,False,False,False
-0.3135143132368141,0.13364552526614745,-0.5203787144335694,-0.8486301819965778,1,True,False,False,False,False,False,False,False
-0.15290846868540783,1.0788344892525232,2.604326211803463,1.4633737600552272,2,True,False,False,False,False,False,False,False
-0.20644375020254327,0.3933128230646024,-0.5203787144335694,-0.8486301819965778,2,False,False,True,False,False,False,False,False
0.3824443464859464,-0.35972234055091695,-0.4747625841235398,0.5064184860271622,1,True,False,False,False,False,False,False,False
0.1683032204174047,2.039603491106807,-0.5203787144335694,1.8920897228198001,3,False,False,False,False,False,True,False,False
1.2390088507601131,1.5202688955098966,-0.5203787144335694,1.9380235759731474,2,False,True,False,False,False,False,False,False
-0.3135143132368141,0.5075664340959224,1.4183068237426915,1.4786850444396762,1,False,True,False,False,False,False,False,False
-0.15290846868540783,-1.1802710015940348,-0.08702547648828758,-0.8409745398043533,0,False,False,True,False,False,True,False,False
-0.20644375020254327,-1.143917579902251,-0.2922980628834211,0.09301380764703812,1,True,False,False,False,False,True,False,False
-0.20644375020254327,0.060938681882580135,0.32351969630197946,1.7236655945908608,1,False,False,True,False,False,False,False,False
-0.2599790317196787,1.3125350572711327,-0.5203787144335694,-0.6036496318453932,3,True,False,False,False,False,False,False,False
-0.2599790317196787,0.6685601587309649,-0.5203787144335694,0.008801743532568407,1,True,False,False,False,False,False,False,False
-0.2599790317196787,-0.37530237841882447,-0.4975706492785546,-0.8486301819965778,1,True,False,False,False,False,False,False,False
-0.3135143132368141,0.5491132017436754,4.999173053080021,0.9734126597528578,2,False,True,False,False,False,False,False,False
-0.3135143132368141,-1.1594976177701584,-0.5203787144335694,1.8920897228198001,1,False,True,False,False,False,True,False,False
-0.2599790317196787,1.940929917943394,-0.5203787144335694,0.6748426142561016,3,False,True,False,False,False,False,False,False
